Index,Sample,Report,Series,Longitude,Latitude,Datum,Rock_Class,Rock_Type,Rock_Name,Description,Rcvd_Sample_Wt_kg,SiO2_%_ME_XRF26,TiO2_%_ME_XRF26,Al2O3_%_ME_XRF26,Fe2O3_%_ME_XRF26,MnO_%_ME_XRF26,MgO_%_ME_XRF26,CaO_%_ME_XRF26,Na2O_%_ME_XRF26,K2O_%_ME_XRF26,P2O5_%_ME_XRF26,BaO_%_ME_XRF26,Cr2O3_%_ME_XRF26,SrO_%_ME_XRF26,LOI_%_OA_GRA05x,Total_%_ME_XRF26,SiO2_%_ME_ICP06,TiO2_%_ME_ICP06,Al2O3_%_ME_ICP06,Fe2O3_%_ME_ICP06,MnO_%_ME_ICP06,MgO_%_ME_ICP06,CaO_%_ME_ICP06,Na2O_%_ME_ICP06,K2O_%_ME_ICP06,P2O5_%_ME_ICP06,BaO_%_ME_ICP06,Cr2O3_%_ME_ICP06,SrO_%_ME_ICP06,LOI_%_OA_GRA05,Total_%_TOT_ICP06,S_%_S_IR,C_%_C_IR,Ba_ppm_ME_MS81,Ce_ppm_ME_MS81,Cr_ppm_ME_MS81,Cs_ppm_ME_MS81,Dy_ppm_ME_MS81,Er_ppm_ME_MS81,Eu_ppm_ME_MS81,Ga_ppm_ME_MS81,Gd_ppm_ME_MS81,Ge_ppm_ME_MS81,Hf_ppm_ME_MS81,Ho_ppm_ME_MS81,La_ppm_ME_MS81,Lu_ppm_ME_MS81,Nb_ppm_ME_MS81,Nd_ppm_ME_MS81,Pr_ppm_ME_MS81,Rb_ppm_ME_MS81,Sm_ppm_ME_MS81,Sn_ppm_ME_MS81,Sr_ppm_ME_MS81,Ta_ppm_ME_MS81,Tb_ppm_ME_MS81,Th_ppm_ME_MS81,Tm_ppm_ME_MS81,U_ppm_ME_MS81,V_ppm_ME_MS81,W_ppm_ME_MS81,Y_ppm_ME_MS81,Yb_ppm_ME_MS81,Zr_ppm_ME_MS81,Ag_ppm_ME_4ACD81,As_ppm_ME_4ACD81,Cd_ppm_ME_4ACD81,Co_ppm_ME_4ACD81,Cu_ppm_ME_4ACD81,Li_ppm_ME_4ACD81,Mo_ppm_ME_4ACD81,Ni_ppm_ME_4ACD81,Pb_ppm_ME_4ACD81,Sc_ppm_ME_4ACD81,Tl_ppm_ME_4ACD81,Zn_ppm_ME_4ACD81,As_ppm_ME_MS42,Bi_ppm_ME_MS42,Hg_ppm_ME_MS42,In_ppm_ME_MS42,Re_ppm_ME_MS42,Sb_ppm_ME_MS42,Sc_ppm_ME_MS42,Se_ppm_ME_MS42,Te_ppm_ME_MS42,Tl_ppm_ME_MS42,Nb_ppm_ME_XRF05,Y_ppm_ME_XRF05,Zr_ppm_ME_XRF05,Ni_%_Ni_OG62
11,13ATe307a,FA14029267,E_plut,-153.2492,61.3948,WGS84,Igneous,Plutonic,granite,fresh biotite granite; dusty pink feldspars; rarely with coarse quartz veins (not sampled) ,0.7,75.5,0.11,12.4,1.54,0.03,0.12,0.74,3.58,4.34,0.02,0.08,-0.01,-0.01,0.09,98.55,,,,,,,,,,,,,,,,-0.01,0.02,821,59.8,10,2.84,4.02,2.68,0.29,15.9,3.63,,3.3,0.85,30.6,0.52,8.7,22.9,6.28,142,4.6,1,67.2,1,0.57,11.5,0.44,4.39,-5,1,24.6,3.12,96,-0.5,,-0.5,-1,-1,40,-1,-1,9,4,,18,0.5,0.01,-0.005,,,-0.05,,0.3,-0.01,0.15,10,23,96,
12,13ATe308a,FA14029267,P_plut_TP,-153.0916,61.4279,WGS84,Igneous,Plutonic,granite,"biotite plagioclase porphyry,megacrystic, slightly altered ",0.63,71.4,0.32,14,2.61,0.05,0.71,1.54,3.28,4.47,0.11,0.09,-0.01,0.04,0.97,99.62,,,,,,,,,,,,,,,,-0.01,0.06,837,48.8,20,2.98,2.33,1.32,0.78,18.7,2.88,,4.7,0.47,26.4,0.21,12,20.2,5.45,140.5,3.85,3,339,1.4,0.41,23.3,0.21,8.93,24,1,13.8,1.33,156,-0.5,,-0.5,4,-1,20,-1,6,21,3,,39,0.5,0.01,-0.005,,,-0.05,,0.2,-0.01,0.04,,,,
13,13ATe309a,FA14029267,P_plut_margin,-154.314,61.2514,WGS84,Igneous,Plutonic,granite,"contact zone between Tired Pup granite and Kk; granite, pervasively intruded by quartz veins, often present as granitic blocks (~20cm) in quartz matrix; sample has two modes: 1) granite block in quartz vein 2) granite with tourmaline (?) clot + dark oxide/sulfide (?Phos ",0.76,74.7,0.05,13.75,1.13,0.01,0.05,0.31,3.35,5.08,0.26,0.01,-0.01,0.01,0.27,99,,,,,,,,,,,,,,,,-0.01,0.01,93.4,7.7,10,7.83,1.84,0.76,0.12,18.8,1.54,,1.9,0.3,3.2,0.07,7.8,4,1.03,240,1.39,5,21,1.7,0.3,2.2,0.11,9.99,-5,1,9.6,0.6,41,-0.5,,0.5,-1,4,10,-1,3,20,2,,50,0.6,0.02,-0.005,,,-0.05,,0.3,-0.01,0.05,,,,
14,13ATe309c,FA14029267,P_plut_margin,-154.3058,61.2539,WGS84,Igneous,Plutonic,granite,"medium coarse, moderate Fe staining; maybe tourmaline clots; weak fabric indicated by biotite? S.Karl sample is thinsection split from contact with pelite near 13ATe309c ",0.74,74.1,0.16,12.85,2.01,0.03,0.3,0.65,2.88,4.61,0.18,0.04,-0.01,-0.01,0.48,98.37,,,,,,,,,,,,,,,,0.03,0.02,371,26.9,20,9.11,1.78,0.63,0.33,16.2,2.39,,2.9,0.3,12.3,0.07,8.1,12.5,3.3,170.5,3.25,5,53.8,0.7,0.4,5.95,0.07,4.22,13,1,8.4,0.44,90,-0.5,,-0.5,2,3,110,-1,4,25,3,,49,2.5,0.14,-0.005,,,-0.05,,0.3,-0.01,0.21,,,,
15,13ATe309d1,FA14029267,P_plut_TP,-154.3027,61.2549,WGS84,Igneous,Plutonic,aplite,"float; white mica + garnet granite mingled with biotite granite; within boulder ~0.5 m with metasedimentary contact; 2 pieces from opposite ends of boulder; 13ATe309d1 is finer grained, aplitic, from near contact with metasediment ",0.72,74.8,0.09,12.75,1.43,0.04,0.15,0.53,2.87,5.43,0.09,0.01,-0.01,-0.01,0.27,98.47,,,,,,,,,,,,,,,,0.01,-0.01,108.5,25.1,10,7.3,4.88,3.16,0.17,16.1,3.83,,2.6,1.08,10.4,0.53,8,12.6,3.07,181,3.63,6,30.6,1.5,0.68,8.4,0.5,10.45,-5,1,30.4,3.35,69,-0.5,,-0.5,-1,-1,40,-1,1,29,3,,25,13.2,0.26,-0.005,,,-0.05,,0.2,-0.01,0.13,,,,
16,13ATe309d3,FA14029267,P_plut_TP,-154.3027,61.2549,WGS84,Igneous,Plutonic,granite,"float; white mica + garnet granite mingled with biotite granite; within boulder ~0.5 m with metasedimentary contact; 2 pieces from opposite ends of boulder; 13ATe309d3 is coarser grained, megacrystic granite ",0.37,71.2,0.24,14.6,2.69,0.08,0.34,1.07,3.2,5.2,0.1,0.09,-0.01,0.01,0.38,99.25,,,,,,,,,,,,,,,,-0.01,0.01,884,47.3,20,12.05,5.99,3.65,0.63,20.4,5.24,,3.6,1.24,21.2,0.63,12.4,22.5,5.77,196,5.78,7,104,1.6,0.95,12.05,0.59,9.85,16,1,35.6,3.77,116,-0.5,,-0.5,2,1,100,-1,3,30,6,,66,48.5,0.12,-0.005,,,0.05,,0.3,-0.01,0.43,,,,
17,13ATe310,FA14029267,P_plut_TP,-154.2562,61.2556,WGS84,Igneous,Plutonic,granite,"flourite phyrric granite, biotite, smoky quartz, trace garnet ",0.74,74.7,0.09,12.85,1.72,0.04,0.11,0.5,3.11,4.83,0.09,0.02,-0.01,-0.01,0.37,98.46,,,,,,,,,,,,,,,,-0.01,0.01,162,32,10,19.45,5.24,3.06,0.21,19.9,3.93,,3.2,1.02,14.1,0.42,10.2,15.2,4,268,4.15,10,31.2,1.5,0.76,10.05,0.45,9.6,-5,4,30,2.9,90,-0.5,,-0.5,-1,3,150,-1,-1,22,3,,54,20.6,0.21,-0.005,,,0.08,,0.2,-0.01,0.3,11,28,94,
18,13ATe311,FA14029267,P_plut_TP,-154.2151,61.3272,WGS84,Igneous,Plutonic,granite,"garnet granite, with blue (glassy?) compositional segregations, agerine (?) phenocrysts ~3mm ",0.73,75.2,0.08,13,1.74,0.06,0.1,0.53,3.21,4.73,0.1,0.01,-0.01,-0.01,0.36,99.14,,,,,,,,,,,,,,,,-0.01,0.01,117,28.3,10,18.75,4.7,2.77,0.18,20.3,4.02,,3.4,0.93,12.3,0.44,11.2,13.2,3.53,267,3.71,7,26.3,1.9,0.73,9.26,0.41,7.56,-5,6,27.9,2.83,85,-0.5,,-0.5,-1,-1,200,-1,1,20,3,,44,11.1,1.18,0.008,,,-0.05,,0.2,0.01,0.48,12,27,84,
19,13ATe312a,FA14029267,P_plut_TP,-154.2601,61.3519,WGS84,Igneous,Plutonic,granite/hypabyssal dacite,"quartz dacite porphyry; prismatic (often) sulfide; pearlescent black/ dark prismatic mineral (rutile? Garnet?); locally intrudes metasediment, cm-scale to mappable sills; outcrop ~50m below contact ",0.37,73.8,0.16,13,1.99,0.04,0.12,0.45,2.78,5.28,0.11,0.09,-0.01,-0.01,0.63,98.47,,,,,,,,,,,,,,,,-0.01,0.03,899,73.3,10,5.97,10.1,5.84,0.58,24.2,8.5,,4.8,2.05,35.1,0.84,20.9,37.2,9.44,221,8.96,4,60.1,1.5,1.57,13.9,0.9,6.42,6,2,56.4,6.01,151,-0.5,,-0.5,1,3,50,-1,1,26,12,,114,1,0.18,0.005,,,-0.05,,0.7,0.01,0.07,,,,
20,13ATe312b,FA14029267,P_plut_TP,-154.2638,61.3506,WGS84,Igneous,Plutonic,granite,"quartz biotite granite, feldspars to 5 cm ",0.52,70.4,0.41,14.1,3.41,0.07,0.64,2.05,3.1,3.72,0.21,0.09,-0.01,0.02,0.3,98.59,,,,,,,,,,,,,,,,0.01,0.01,857,60.7,30,14.65,4.58,2.39,1.06,20,5.06,,5.9,0.87,29.4,0.35,13,28.4,7.42,156.5,6.14,5,190,1.2,0.77,10.1,0.34,5.59,29,1,24.5,2.25,210,-0.5,,-0.5,5,8,110,-1,8,19,7,,74,21.8,1.04,-0.005,,,-0.05,,0.5,0.03,0.68,,,,
21,13ATe313b,FA14029267,P_plut_margin,-154.3247,61.2756,WGS84,Igneous,Plutonic,granite,"biotite granite; aegerine pyroxene? same as 13ATe313a, without mineralized planar surfaces ",0.69,72.6,0.32,13.6,2.68,0.04,0.54,1.01,2.94,4.55,0.27,0.09,-0.01,0.01,0.55,99.25,,,,,,,,,,,,,,,,-0.01,0.01,793,39.4,20,14,2.42,0.98,0.77,18.6,3.58,,4.4,0.4,18.8,0.13,11.3,19.5,4.86,179.5,4.45,6,104.5,1.3,0.51,7.02,0.12,2.58,29,1,11.4,0.73,151,-0.5,,-0.5,3,7,140,-1,9,29,4,,69,0.8,0.43,-0.005,,,-0.05,,0.3,0.01,0.4,,,,
22,13ATe314a,FA14029267,P_plut_margin,-154.3324,61.2739,WGS84,Igneous,Plutonic,granite,medium-coarse tourmaline granite; moderate/light weathering including Fe staining internally; dendritic Fe on some surfaces ,0.67,73.4,0.03,14.55,1.02,0.01,0.02,0.3,4.36,3.99,0.38,0.01,-0.01,-0.01,0.21,98.3,,,,,,,,,,,,,,,,0.01,0.01,41.6,4.1,10,7.55,1.26,0.44,-0.03,25.5,1.13,,2,0.19,1.5,0.04,16.9,2.2,0.62,332,1.14,6,6,1.8,0.22,1.39,0.07,25.4,-5,17,6.3,0.47,35,-0.5,,-0.5,-1,17,20,-1,1,9,3,,18,1,0.41,0.008,,,0.07,,0.2,0.01,0.05,,,,
23,13ATe315a,FA14029267,E_plut,-153.8416,61.375,WGS84,Igneous,Plutonic,granite,"biotite granite, coarse, homogeneous; rare hornblende (tourmaline?); just west of Tired Pup contact with Stony River Pluton ",0.92,71.9,0.21,13.8,2.58,0.05,0.32,1.52,3.9,3.81,0.06,0.21,-0.01,0.02,0.26,98.67,,,,,,,,,,,,,,,,-0.01,0.01,1920,62.4,30,4.56,4.25,2.68,0.75,19.2,4.47,,5.7,0.89,32.4,0.42,8.8,27.4,7.14,106.5,5.5,3,170.5,0.8,0.68,9.85,0.39,2.89,11,-1,24.7,2.63,195,-0.5,,-0.5,2,-1,50,-1,1,15,5,,48,1.6,0.1,-0.005,,,0.1,,0.4,-0.01,0.28,,,,
24,13ATe316a,FA14029267,E_Mg_plut,-153.7969,61.4465,WGS84,Igneous,Plutonic,granite,biotite granite (granodiorite?); medium coarse; trace bluish amphibole/pyroxene? ,0.54,61.7,0.72,15.75,5.7,0.09,2.72,4.8,3.34,2.72,0.2,0.09,0.01,0.04,0.44,98.38,,,,,,,,,,,,,,,,-0.01,0.01,954,47.4,60,5.73,3.6,2.08,1.12,19.9,4.19,,4.3,0.74,22.9,0.31,7.6,23,5.65,92.1,4.69,3,392,0.6,0.62,8.6,0.3,3.32,123,1,20.1,1.83,157,-0.5,,-0.5,13,14,40,-1,18,17,13,,74,6.8,0.15,-0.005,,,0.15,,0.3,-0.01,0.47,,,,
25,13ATe317a,FA14029267,P_plut_Na,-153.7995,61.4851,WGS84,Igneous,Plutonic,granite,"biotite granite, coarse; moderately weathered, friable, some Fe staining; intruded by 13ATe317b ",0.88,70.7,0.22,14.3,3.02,0.07,0.35,1.38,4.09,4.03,0.06,0.17,-0.01,0.02,0.29,98.75,,,,,,,,,,,,,,,,-0.01,0.01,1670,72.2,10,4.45,4.18,2.67,0.57,20.9,4.57,,6.2,0.88,37.9,0.41,11,30.5,8.15,133.5,5.47,3,156,0.9,0.71,12.45,0.42,3.16,11,1,24.8,2.73,205,-0.5,,-0.5,2,-1,50,-1,1,16,5,,59,0.9,0.02,-0.005,,,-0.05,,0.4,-0.01,0.42,,,,
26,13ATe317b,FA14029267,,-153.7995,61.4851,WGS84,Igneous,Plutonic,aplite,aplite dike; very low Fe/Mg phase fraction; some within miarolitic cavities ,0.36,75.9,0.01,12.5,0.73,0.01,0.01,0.44,3.35,5.33,-0.01,0.02,-0.01,-0.01,0.11,98.42,,,,,,,,,,,,,,,,-0.01,0.01,181.5,22.7,10,3.11,8.64,6.3,0.14,19.9,6.54,,6,1.9,8.6,1.13,5.3,15.4,3.35,169,5.74,2,18.7,1.3,1.28,24.8,0.99,7.45,-5,1,58.6,6.95,95,-0.5,,-0.5,-1,1,10,-1,-1,25,2,,10,2.8,1.99,-0.005,,,0.06,,0.9,0.01,0.05,,,,
27,13ATe318a2,FA14029267,,-153.9551,61.4386,WGS84,Igneous,Plutonic,aplite,set of facies within boulder hosting contact between aplite and metasediment; garnet +muscovite+biotite in aplite; hornfels/migmatite ,0.51,75.4,0.01,14.5,0.84,0.09,0.03,1.65,3.72,2.47,0.08,0.04,0.01,0.01,0.19,99.19,,,,,,,,,,,,,,,,0.05,0.01,392,27.2,10,2.19,2.72,1.83,0.67,18.1,2.6,,2.5,0.54,12.8,0.36,2.4,12.3,3.35,56.1,3.45,1,143,0.6,0.4,6.18,0.3,9.28,-5,-1,16.2,2.25,51,-0.5,,-0.5,1,13,20,-1,2,23,1,,3,0.8,0.03,-0.005,,,-0.05,,0.5,0.02,0.03,,,,
28,13ATe318b,FA14029267,Ksed_Dalzell,-153.9553,61.4385,WGS84,Sedimentary,,sandstone,contact between calcareous sandstone and black slate below ,0.52,75.5,0.43,10.45,4.88,0.09,1.9,0.66,1.15,1.72,0.16,0.11,0.01,0.02,1.32,99.16,,,,,,,,,,,,,,,,0.28,0.56,1180,35.7,110,5.23,3.52,2.36,0.96,13.6,3.53,,3.6,0.79,17.9,0.32,7.5,17.7,4.35,69.7,3.96,1,129,0.5,0.58,5.18,0.31,2.09,131,1,21,2,132,-0.5,,-0.5,13,70,90,1,56,9,10,,101,1.4,0.07,-0.005,,,-0.05,,1.6,0.06,0.46,,,,
29,13ATe318d,FA14029267,E_volc,-153.9534,61.4387,WGS84,Igneous,Volcanic,diabase,"plagioclase + hornblende diabase dike (+ epidote); float, but locally concentrated at waypoint ",0.67,46.4,1.25,17.45,10.49,0.18,7.08,8.32,3.14,1.23,0.23,0.09,0.01,0.09,3.07,99.26,,,,,,,,,,,,,,,,0.05,0.16,798,27.6,70,0.96,3.41,2,1.25,19.3,3.69,,1.9,0.73,13.2,0.29,3.5,16.9,3.66,30.9,3.78,1,780,0.2,0.54,3.04,0.29,0.88,343,-1,18.6,1.71,69,-0.5,,-0.5,33,31,40,-1,13,4,31,,102,0.8,0.01,-0.005,,,-0.05,,0.4,-0.01,-0.02,,,,
30,13ATe318e,FA14029267,P_plut_TP,-153.954,61.439,WGS84,Igneous,Plutonic,granite,main-phase biotite granite; in place; some locally with silicic vein material (~2cm wide) ,0.52,67.2,0.65,15.55,4.39,0.07,1.32,2.75,3.47,2.85,0.29,0.12,0.01,0.04,0.44,99.24,,,,,,,,,,,,,,,,-0.01,0.14,1075,72,30,6.4,3.5,1.32,1.6,20.3,5.21,,6.3,0.6,35.3,0.22,14.9,33.1,8.42,109.5,6.56,3,340,1.1,0.68,13.6,0.18,3.78,52,1,15.4,1.38,243,-0.5,,-0.5,8,-1,70,-1,14,17,8,,96,0.5,0.02,-0.005,,,-0.05,,0.5,-0.01,0.7,16,16,245,
31,13ATe318f2,FA14029267,P_plut_margin,-153.954,61.439,WGS84,Igneous,Plutonic,pegmatite,"boulder with facies variations (sandstone, and pegmatite ranging from more tourmalien to more garnetiferous); pegmatite, with more with mica and garnet ",0.26,72.6,0.01,14.65,0.75,0.07,0.07,0.48,3.4,5.58,0.29,0.01,-0.01,0.01,0.34,98.28,,,,,,,,,,,,,,,,-0.01,0.02,76.7,4.9,10,10.95,0.86,0.42,0.08,17.9,0.68,,1.8,0.15,2.1,0.08,7.1,2.2,0.59,185,0.75,5,24.3,2.7,0.14,1.4,0.07,15.7,-5,1,4.6,0.62,28,-0.5,,-0.5,-1,-1,30,-1,-1,35,2,,6,0.6,0.18,-0.005,,,-0.05,,-0.2,0.01,0.04,,,,
